"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3074291,"November 17, 2024",Minnesota,"Red Wing","West Ave and Putnam Ave",1,0,0,0,1,N/A
3065403,"November 6, 2024",Maine,Rumford,"76 ME-232",0,0,0,1,1,N/A
3057866,"October 27, 2024",Texas,Abilene,"2442 S 7th St",1,0,0,0,1,N/A
3036792,"September 28, 2024",Wisconsin,"Fond Du Lac","1st St and Adams St",0,1,0,0,1,N/A
3031136,"September 21, 2024",California,Stockton,"3286 Blue Ridge Cir",1,2,0,0,1,N/A
3029195,"September 20, 2024",Michigan,"Walled Lake","1400 Dover Hill N",0,1,0,0,1,N/A
3018290,"September 8, 2024",Illinois,Chicago,"10500 block of S Cottage Grove Ave",0,2,0,0,1,N/A
3016973,"September 6, 2024",Texas,"Corpus Christi","1100 block of Green Earth Dr",1,0,0,0,1,N/A
3015608,"September 4, 2024",Illinois,Macomb,"300 block of N Normal St",0,2,0,0,1,N/A
3014703,"September 4, 2024",Georgia,Winder,"940 Haymon Morris Rd",4,7,0,0,1,N/A
3005565,"August 25, 2024",Wisconsin,Waukesha,"200 block of Douglass Ave",1,0,0,0,1,N/A
2998247,"August 10, 2024",California,Chico,"3100 block of Rogue River Dr",0,1,0,0,1,N/A
2988595,"August 6, 2024",Michigan,"Muskegon (Muskegon Heights)","E Sherman Blvd and Hoyt St",0,2,0,0,1,N/A
2977389,"July 24, 2024",Indiana,Vincennes,"130 N 14th St",1,0,0,0,1,N/A
2977577,"July 24, 2024",Illinois,Schaumburg,"800 block of S Braintree Dr",0,1,0,0,1,N/A
2943824,"June 18, 2024",Utah,Washington,"1039 E Chinook Dr",2,0,0,0,1,N/A
2932934,"June 6, 2024",Minnesota,"Osseo (Corcoran)","Cherry Ln and Mystique Dr",0,0,0,1,1,N/A
2932509,"June 5, 2024",Pennsylvania,"Mc Clure","2426 Snook Rd",1,0,0,0,1,N/A
2925812,"May 30, 2024",Georgia,"Fort Valley","200 block of Vienna Cir",0,1,0,0,1,N/A
2922869,"May 27, 2024",California,"San Jose","300 block of N 20th St",1,1,0,0,1,N/A
2920754,"May 24, 2024",Wisconsin,"Eau Claire","2232 2nd St",0,0,0,1,1,N/A
2904520,"May 8, 2024",Mississippi,Jackson,"386 Raymond Rd",0,1,0,0,1,N/A
2902278,"May 5, 2024",Oklahoma,"Oklahoma City","3000 block of NW 61st St",0,1,0,0,1,N/A
2896327,"May 1, 2024",Alabama,Huntsville,"12000 block of Mount Charron Dr",2,0,0,0,1,N/A
2910037,"April 17, 2024",Alabama,Abbeville,"100 block of Girard St",0,1,0,0,1,N/A
2876602,"April 10, 2024",Tennessee,Memphis,"800 block of N Trezevant St",0,1,0,0,1,N/A
2871303,"April 3, 2024",Washington,Shelton,"91 WA-108",0,2,0,0,3,N/A
2869069,"April 2, 2024",Tennessee,Kodak,"100 block of Thorngrove Pike",1,1,0,0,1,N/A
2865433,"March 28, 2024",Indiana,Roselawn,I-65,0,1,0,0,1,N/A
2859311,"March 21, 2024",Ohio,"Youngstown (Boardman)","4000 block of Grover Dr",0,1,0,0,1,N/A
2859831,"March 21, 2024",Texas,Houston,"2634 Yorktown St",1,0,0,0,1,N/A
2826539,"February 11, 2024",Ohio,Ontario,"1000 block of Landings Ct",0,2,0,0,1,N/A
2792522,"January 2, 2024",Wisconsin,Milwaukee,"1818 W Fairmount Ave",0,1,0,0,1,N/A
2785701,"December 22, 2023",Michigan,Eastpointe,"22000 block of Lambrecht Ave",0,1,0,0,1,N/A
2779024,"December 14, 2023",Texas,Dallas,"7020 Gaston Ave",0,1,0,0,1,N/A
2769981,"December 3, 2023",Texas,Lubbock,"Marshall Formby Memorial Hwy and 82nd St",1,0,0,0,1,N/A
2765456,"November 27, 2023",Texas,"San Marcos","El Rio St",0,1,0,0,1,N/A
2744464,"October 29, 2023",Tennessee,Madisonville,"Meadow View Ln",0,1,0,0,1,N/A
2740744,"October 27, 2023",Pennsylvania,Pittsburgh,"900 block of Woodlow St",0,1,0,0,1,N/A
2735988,"October 22, 2023",Texas,Austin,"1700 block of Wells Branch Pkwy",1,0,0,0,1,N/A
2738044,"October 18, 2023","South Dakota","Sioux Falls","W 10th St and S Kiwanis Ave",0,0,0,1,1,N/A
2720887,"October 1, 2023",Indiana,"East Chicago","3000 block of Guthrie St",0,3,0,0,2,N/A
2721209,"October 1, 2023","North Carolina","Rocky Mount","716 Cokey Rd",0,1,0,0,1,N/A
2720328,"September 30, 2023",Ohio,Toledo,"Albert St and White St",1,0,0,0,1,N/A
2721966,"September 26, 2023",Nebraska,Gering,"19th St and Kings Rd",0,0,0,0,1,N/A
