"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
2792171,"December 31, 2023",Ohio,Cincinnati,"7800 block of Dawn Rd",1,0,0,0,1,N/A
2792333,"December 31, 2023","New Hampshire",Manchester,"274 Amherst St",1,0,0,0,1,N/A
2790802,"December 31, 2023","New Mexico",Albuquerque,"6600 block of Moore Dr SW",1,0,0,0,1,N/A
2792151,"December 31, 2023",Tennessee,Martin,"103 Church St",1,0,0,0,2,N/A
2792081,"December 31, 2023",Indiana,Muncie,"300 block of E Gilbert St",0,1,0,0,1,N/A
2795377,"December 31, 2023",Texas,"Fort Worth","5700 block of Eastland St",1,0,0,0,1,N/A
2791450,"December 31, 2023",Pennsylvania,Pittsburgh,"50 block of Maytide St",1,0,0,0,1,N/A
2792008,"December 31, 2023",Alabama,Tuscaloosa,"710 Skyland Blvd",0,1,0,0,1,N/A
2793000,"December 31, 2023",Louisiana,"New Roads",N/A,1,3,0,0,1,N/A
2790898,"December 31, 2023",Arkansas,"Harrison (Bellefonte)","4281 US-65",0,0,0,1,1,N/A
2791935,"December 31, 2023",Minnesota,"Saint Paul","700 block of Sherburne Ave",0,1,0,0,1,N/A
2790697,"December 31, 2023",Georgia,Atlanta,"280 Richardson St SW",0,0,0,1,1,N/A
2790733,"December 31, 2023",Iowa,Clinton,"2715 S 18th St",1,0,0,0,1,N/A
2793758,"December 31, 2023","North Carolina",Shelby,"Sulphur Springs Rd and Pleasant Dr",0,1,0,0,1,N/A
2790551,"December 31, 2023",Louisiana,Lafayette,"500 block of Jefferson St",1,0,0,0,2,N/A
2790804,"December 31, 2023",Washington,"Lake Stevens","12703 NE 16th St",1,0,0,0,1,N/A
2793394,"December 31, 2023",Mississippi,Clarksdale,"7th St and Leflore Ave",1,0,0,0,1,N/A
2791341,"December 31, 2023","North Carolina",Charlotte,"300 S Church St",0,5,0,0,1,N/A
2791638,"December 31, 2023",Texas,Houston,"6000 block of Clarewood Dr",1,0,0,0,2,N/A
2791352,"December 31, 2023",Michigan,Wyoming,"355 54th St SW",0,2,0,0,1,N/A
2792658,"December 31, 2023","South Carolina",Loris,"Main St and Bryant St",0,1,0,0,1,N/A
2791732,"December 31, 2023",Louisiana,Rayne,"1000 block of Lyman Ave",1,0,0,0,2,N/A
2797925,"December 31, 2023",California,Perris,"1700 block of Glenview Dr",1,0,0,0,1,N/A
2790738,"December 31, 2023","North Carolina",Laurinburg,"700 block of West Blvd",1,0,0,0,1,N/A
2791869,"December 31, 2023",Colorado,Denver,"2001 Colorado Blvd",0,0,0,1,1,N/A
2791338,"December 31, 2023",Maryland,"Capitol Heights","1400 block of Dunbar Oaks Dr",1,0,0,0,2,N/A
2790820,"December 31, 2023","New York",Brooklyn,"3250 Coney Island Ave",0,1,0,0,1,N/A
2791571,"December 31, 2023",Arizona,Phoenix,"15th Ave and Mulberry Dr",0,1,0,0,1,N/A
2791264,"December 31, 2023","New York","Middle Island","208 Artist Lake Dr",1,0,0,0,1,N/A
2791422,"December 31, 2023",Illinois,Chicago,"1600 block of W Foster Ave",0,1,0,0,1,N/A
2791985,"December 31, 2023",California,Encino,"5250 Encino Ave",0,1,0,0,1,N/A
2795134,"December 31, 2023",Louisiana,Alexandria,"2200 block of W Sycamore St",0,1,0,0,3,N/A
2791677,"December 31, 2023",Louisiana,Alexandria,"2200 block of E Sycamore St",1,0,0,0,1,N/A
2791624,"December 31, 2023",Idaho,"Idaho Falls","400 block of G St",0,1,0,0,1,N/A
2791221,"December 31, 2023",Texas,Converse,"7100 block of Misty Ridge Dr",1,1,0,0,1,N/A
2792362,"December 31, 2023","New Jersey",Ramsey,"101 Williams St",1,0,0,0,1,N/A
2790807,"December 31, 2023",Connecticut,"New Britain","North St and Clark St",1,2,0,0,1,N/A
2792140,"December 31, 2023",Ohio,Cincinnati,"1700 block of Casey Dr",0,1,0,0,1,N/A
2793872,"December 31, 2023",Florida,Quincy,"110 E Washington St",1,0,0,0,1,N/A
2794085,"December 31, 2023",Alaska,Anchorage,"7251 Point Woronzof Rd",0,1,0,0,1,N/A
2792286,"December 31, 2023",Ohio,Lima,"2226 N Glenwood Ave",1,0,0,0,1,N/A
2790907,"December 30, 2023",Nevada,Henderson,"10000 block of S Eastern Ave",0,1,0,0,1,N/A
2791943,"December 30, 2023",Georgia,Covington,"4200 Salem Rd",0,1,0,0,1,N/A
