,Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,Year,dates_proccessed,Suspect Surrendered,Suspect Captured,Suspects Suicide,Suspects Killed by Cop,Police Action Index,Police Action Index Normalized
0,1582816,"December 29, 2019",Illinois,Danville,1803 block of Westview Ave,0,5,0,0,0,,2019,2019-12-29,0,0,0,0,-0.25,-0.00038141734686093526
1,1582197,"December 29, 2019",New York,Buffalo,50 block of Henrietta Ave,1,3,0,0,0,,2019,2019-12-29,0,0,0,0,-0.35000000000000003,-0.0005339842856053094
2,1583444,"December 29, 2019",California,Ceres,800 block of Allacante Dr,0,5,0,0,0,,2019,2019-12-29,0,0,0,0,-0.25,-0.00038141734686093526
3,1581590,"December 27, 2019",California,Modesto,1900 block of Vernon Ave,1,3,0,0,0,,2019,2019-12-27,0,0,0,0,-0.35000000000000003,-0.0005339842856053094
4,1581103,"December 27, 2019",Texas,Houston,500 block of Smart St,2,7,0,0,4,,2019,2019-12-27,0,4,0,0,3.25,0.004958425509192159
5,1581476,"December 27, 2019",Georgia,Kennesaw,1575 Ridenour Pkwy NW,0,4,0,0,0,,2019,2019-12-27,0,0,0,0,-0.2,-0.00030513387748874824
6,1580308,"December 26, 2019",Florida,Saint Petersburg,4300 6th St S,0,5,0,0,0,,2019,2019-12-26,0,0,0,0,-0.25,-0.00038141734686093526
7,1579889,"December 25, 2019",California,Oakland,2100 block of 34th Ave,0,4,0,0,0,,2019,2019-12-25,0,0,0,0,-0.2,-0.00030513387748874824
8,1579970,"December 25, 2019",Iowa,Coralville,954 Boston Way,1,3,0,0,2,,2019,2019-12-25,0,2,0,0,1.65,0.002517354489282173
9,1579856,"December 25, 2019",Virginia,Richmond,1800 E Main St,1,3,0,0,0,,2019,2019-12-25,0,0,0,0,-0.35000000000000003,-0.0005339842856053094
10,1579266,"December 24, 2019",Louisiana,New Orleans,6400 block of General Meyer Ave,0,4,0,0,0,,2019,2019-12-24,0,0,0,0,-0.2,-0.00030513387748874824
11,1594317,"December 24, 2019",Illinois,Joliet,1200 block of Cutter Ave,0,5,0,0,0,,2019,2019-12-24,0,0,0,0,-0.25,-0.00038141734686093526
12,1579220,"December 24, 2019",North Carolina,High Point,1226 Montlieu Ave,0,6,0,0,0,,2019,2019-12-24,0,0,0,0,-0.30000000000000004,-0.0004577008162331224
13,1577577,"December 22, 2019",Maryland,Baltimore,225 Park Ave,0,7,0,0,0,,2019,2019-12-22,0,0,0,0,-0.35000000000000003,-0.0005339842856053094
14,1577688,"December 22, 2019",Minnesota,Minneapolis (Spring Lake Park),8407 Plaza Blvd NE,1,7,0,0,0,,2019,2019-12-22,0,0,0,0,-0.55,-0.0008391181630940577
15,1577518,"December 22, 2019",Illinois,Chicago,5700 block of S May St,0,12,0,1,2,,2019,2019-12-22,0,2,0,0,1.4,0.002135937142421237
16,1578711,"December 21, 2019",Louisiana,Edgard,2555 LA-18,0,4,0,0,1,,2019,2019-12-21,0,1,0,0,0.8,0.001220535509954993
17,1577046,"December 20, 2019",Mississippi,Waynesboro,Turner St,1,6,0,0,1,,2019,2019-12-20,0,1,0,0,0.5,0.0007628346937218705
18,1577438,"December 20, 2019",Alabama,Tuskegee,2900 block of Davison St,2,2,0,0,0,,2019,2019-12-20,0,0,0,0,-0.5,-0.0007628346937218705
19,1575175,"December 18, 2019",Texas,San Antonio,2418 SW Military Dr,0,4,0,0,4,,2019,2019-12-18,0,4,0,0,3.8,0.005797543672286216
20,1573754,"December 17, 2019",Montana,Great Falls,1701 10th Ave S,3,1,1,0,0,,2019,2019-12-17,0,0,0,1,-0.050000000000000155,-7.628346937218729e-05
21,1572275,"December 15, 2019",Georgia,Columbus,600 block of 32nd St,1,4,0,0,0,,2019,2019-12-15,0,0,0,0,-0.4,-0.0006102677549774965
22,1573471,"December 14, 2019",California,Ivanhoe,15700 block of Paradise Ave,0,4,0,0,0,,2019,2019-12-14,0,0,0,0,-0.2,-0.00030513387748874824
23,1571348,"December 12, 2019",Missouri,Saint Louis (Moline Acres),9900 block of Lewis and Clark Blvd,1,3,0,0,1,,2019,2019-12-12,0,1,0,0,0.6499999999999999,0.0009916851018384315
24,1568230,"December 10, 2019",New Jersey,Jersey City,223 Martin Luther King Dr,4,3,2,0,0,,2019,2019-12-10,0,0,0,2,0.2499999999999999,0.0003814173468609351
25,1567932,"December 8, 2019",Texas,Desoto,200 block of W Wintergreen Rd,2,3,0,0,0,,2019,2019-12-08,0,0,0,0,-0.55,-0.0008391181630940577
26,1567231,"December 8, 2019",Louisiana,New Orleans,3801 Washington Ave,1,4,0,0,0,,2019,2019-12-08,0,0,0,0,-0.4,-0.0006102677549774965
27,1565216,"December 6, 2019",Florida,Pensacola,280 Taylor Rd,3,8,1,0,0,,2019,2019-12-06,0,0,0,1,-0.4,-0.0006102677549774965
28,1564524,"December 4, 2019",Alabama,Montgomery,500 Eastdale Rd S,2,2,0,0,0,,2019,2019-12-04,0,0,0,0,-0.5,-0.0007628346937218705
29,1562685,"December 1, 2019",Michigan,Kalamazoo,6300 block of Proctor St,1,3,0,0,1,,2019,2019-12-01,0,1,0,0,0.6499999999999999,0.0009916851018384315
30,1562043,"December 1, 2019",Louisiana,Cotton Valley,116 Hawthorne Loop,2,3,0,0,1,,2019,2019-12-01,0,1,0,0,0.44999999999999996,0.0006865512243496835
31,1561966,"December 1, 2019",Louisiana,New Orleans,2000 block of N Dorgenois St,2,2,0,0,0,,2019,2019-12-01,0,0,0,0,-0.5,-0.0007628346937218705
32,1561813,"December 1, 2019",Illinois,Aurora,700 block of S 5th St,1,4,0,0,0,,2019,2019-12-01,0,0,0,0,-0.4,-0.0006102677549774965
33,1561734,"December 1, 2019",Louisiana,New Orleans,700 block of Canal St,0,11,0,1,2,,2019,2019-12-01,0,2,0,0,1.45,0.0022122206117934245
34,1561398,"November 30, 2019",Arkansas,Hensley,6500 block of E Sardis Rd,0,5,0,0,1,,2019,2019-11-30,0,1,0,0,0.75,0.001144252040582806
35,1560645,"November 29, 2019",Texas,Amarillo,2650 Dumas Dr,0,7,0,0,0,,2019,2019-11-29,0,0,0,0,-0.35000000000000003,-0.0005339842856053094
36,1559257,"November 27, 2019",New York,Bronx,E 153rd St and Courtlandt Ave,0,5,0,0,1,,2019,2019-11-27,0,1,0,0,0.75,0.001144252040582806
37,1558067,"November 25, 2019",Florida,Brownsville,NW 29th Ave and 44th St,2,2,0,0,2,,2019,2019-11-25,0,2,0,0,1.5,0.002288504081165612
38,1557006,"November 24, 2019",Alabama,Birmingham,7 15th St W,1,4,0,0,0,,2019,2019-11-24,0,0,0,0,-0.4,-0.0006102677549774965
39,1556633,"November 24, 2019",California,Los Angeles,100 block of E 11th St,0,6,0,0,0,,2019,2019-11-24,0,0,0,0,-0.30000000000000004,-0.0004577008162331224
40,1556984,"November 24, 2019",Louisiana,Cottonport,3846 LA-29,2,2,0,0,1,,2019,2019-11-24,0,1,0,0,0.5,0.0007628346937218705
41,1555879,"November 23, 2019",California,Los Angeles,833 S Spring St,0,4,0,0,1,,2019,2019-11-23,0,1,0,0,0.8,0.001220535509954993
42,1556002,"November 23, 2019",Louisiana,Tallulah,Depot St,1,6,0,0,1,,2019,2019-11-23,0,1,0,0,0.5,0.0007628346937218705
43,1554807,"November 21, 2019",Washington,Everett,120 West Casino Rd,0,4,0,0,1,,2019,2019-11-21,0,1,0,0,0.8,0.001220535509954993
44,1555135,"November 21, 2019",California,Long Beach,1100 block of 10th St,0,5,0,0,0,,2019,2019-11-21,0,0,0,0,-0.25,-0.00038141734686093526
45,1554446,"November 20, 2019",California,Richmond,20th St and Roosevelt Ave,0,4,0,0,0,,2019,2019-11-20,0,0,0,0,-0.2,-0.00030513387748874824
46,1552068,"November 18, 2019",New Jersey,Newark,139 S 8th St,1,4,0,0,0,,2019,2019-11-18,0,0,0,0,-0.4,-0.0006102677549774965
47,1551531,"November 17, 2019",California,Fresno,5361 E Lamona Ave,4,6,0,0,7,,2019,2019-11-17,0,7,0,0,5.9,0.009001449385918073
48,1551162,"November 17, 2019",Ohio,Cleveland,7100 block of Lawn Ave,0,4,0,0,0,,2019,2019-11-17,0,0,0,0,-0.2,-0.00030513387748874824
49,1550546,"November 16, 2019",California,San Diego,2152 Flintridge Dr,5,0,1,0,0,,2019,2019-11-16,0,0,1,0,-0.7,-0.0010679685712106186
50,1548689,"November 14, 2019",California,Santa Clarita,21900 Centurion Way,2,3,1,0,0,,2019,2019-11-14,0,0,1,0,-0.25000000000000006,-0.00038141734686093537
51,1547021,"November 11, 2019",Florida,Belle Glade,SW 7th St,0,4,0,0,0,,2019,2019-11-11,0,0,0,0,-0.2,-0.00030513387748874824
52,1546983,"November 11, 2019",Colorado,Aurora,384 S Ironton St,0,6,0,0,1,,2019,2019-11-11,0,1,0,0,0.7,0.0010679685712106186
53,1546102,"November 10, 2019",Missouri,Kansas City,4704 Independence Ave,0,4,0,0,0,,2019,2019-11-10,0,0,0,0,-0.2,-0.00030513387748874824
54,1546038,"November 10, 2019",Tennessee,Memphis,2080 E. Brooks Rd,1,4,0,0,0,,2019,2019-11-10,0,0,0,0,-0.4,-0.0006102677549774965
55,1546155,"November 10, 2019",Arkansas,Little Rock,3000 block of W 12th St,0,4,0,0,0,,2019,2019-11-10,0,0,0,0,-0.2,-0.00030513387748874824
56,1545955,"November 9, 2019",Michigan,Detroit,3800 block of E McNichols Rd,0,4,0,0,0,,2019,2019-11-09,0,0,0,0,-0.2,-0.00030513387748874824
