,Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,Year,dates_proccessed,Suspect Surrendered,Suspect Captured,Suspects Suicide,Suspects Killed by Cop
0,271363,"December 29, 2014",Louisiana,New Orleans,Poydras and Bolivar,0,4,0,0,0,,,2014-12-29,0,0,0,0
1,270036,"December 27, 2014",California,Sacramento,4000 block of May Street,0,4,0,0,0,,,2014-12-27,0,0,0,0
2,269679,"December 27, 2014",California,Los Angeles,8800 block of South Figueroa Street,1,3,0,0,0,,,2014-12-27,0,0,0,0
3,269167,"December 26, 2014",Illinois,East St. Louis,2500 block of Summit Avenue,1,3,0,0,0,,,2014-12-26,0,0,0,0
4,268598,"December 24, 2014",Missouri,Saint Louis,18th and Pine,1,3,0,0,0,,,2014-12-24,0,0,0,0
5,267792,"December 23, 2014",Kentucky,Winchester,260 Oxford Dr,1,3,0,0,2,,,2014-12-23,0,2,0,0
6,268282,"December 22, 2014",Michigan,Detroit,Charlevoix St and Philip St,1,3,0,0,0,,,2014-12-22,0,0,0,0
7,282186,"December 22, 2014",New York,Webster,191 Lake Rd,3,2,1,0,0,,,2014-12-22,0,0,1,0
8,267721,"December 22, 2014",Illinois,Chicago,5700 block of South Green Street,0,5,0,0,0,,,2014-12-22,0,0,0,0
9,266570,"December 21, 2014",Florida,Sarasota,4034 N Washington Blvd,2,2,0,0,0,,,2014-12-21,0,0,0,0
10,268910,"December 21, 2014",Mississippi,Waynesboro,Central Avenue,1,4,0,0,2,,,2014-12-21,0,2,0,0
11,266424,"December 21, 2014",Illinois,Calumet City,600 block of Escanba,1,8,0,0,0,,,2014-12-21,0,0,0,0
12,266407,"December 20, 2014",Illinois,Rockford,3200 block of Montrose Avenue,4,0,0,0,1,,,2014-12-20,0,1,0,0
13,264901,"December 16, 2014",New Jersey,Elizabeth,Anna Street,0,4,0,0,0,,,2014-12-16,0,0,0,0
14,263556,"December 15, 2014",Pennsylvania,Lansdale,100 block of West 5th St,6,0,1,0,0,,,2014-12-15,0,0,1,0
15,263376,"December 14, 2014",Florida,Miami,1311 Northwest 2nd Avenue,1,4,0,0,0,,,2014-12-14,0,0,0,0
16,263382,"December 13, 2014",Florida,Tampa,810 E. Skagway Ave.,0,5,0,0,0,,,2014-12-13,0,0,0,0
17,262202,"December 12, 2014",Oregon,Portland,717 North Killingsworth Court,0,4,0,0,3,,,2014-12-12,0,3,0,0
18,259935,"December 7, 2014",Indiana,South Bend,16000 block of Roosevelt Road,0,4,0,0,0,,,2014-12-07,0,0,0,0
19,227011,"December 2, 2014",Missouri,Saint Louis,6000 block of Virginia Avenue,1,3,0,2,0,,,2014-12-02,0,0,0,0
20,226983,"December 2, 2014",Virginia,Newport News,6128 Jefferson Ave ,0,5,0,0,0,,,2014-12-02,0,0,0,0
21,226534,"November 30, 2014",Tennessee,Chattanooga,2412 East 13th Street ,0,5,0,0,0,,,2014-11-30,0,0,0,0
22,226388,"November 30, 2014",New York,Brooklyn,375 Remsen Avenue,0,4,0,0,0,,,2014-11-30,0,0,0,0
23,226150,"November 29, 2014",New Jersey,Newark,348 S Orange Ave,1,3,0,0,0,,,2014-11-29,0,0,0,0
24,225903,"November 29, 2014",Georgia,Atlanta,1600 block of Richmond Avenue,3,2,0,0,0,,,2014-11-29,0,0,0,0
25,225830,"November 28, 2014",Tennessee,Memphis,1849 East Brooks Road ,0,4,0,0,0,,,2014-11-28,0,0,0,0
26,226018,"November 27, 2014",Texas,Georgetown,Pvt Rd 934,2,3,0,0,0,,,2014-11-27,0,0,0,0
27,225036,"November 26, 2014",California,San Francisco,Mission and 13th streets,0,6,0,0,0,,,2014-11-26,0,0,0,0
28,224362,"November 23, 2014",Virginia,Parksley,Parksley Road,0,4,0,0,0,,,2014-11-23,0,0,0,0
29,224131,"November 23, 2014",Colorado,Denver,Federal Boulevard and 16th Avenue,1,4,0,0,0,,,2014-11-23,0,0,0,0
30,223651,"November 22, 2014",Ohio,Cleveland,1443 E 92nd St,4,1,0,0,1,,,2014-11-22,0,1,0,0
31,223799,"November 22, 2014",South Dakota,Sisseton,Fourth Avenue,3,1,1,0,0,,,2014-11-22,0,0,1,0
32,223729,"November 22, 2014",Ohio,Springfield,Clifton Avenue and Rice Street,1,3,0,0,0,,,2014-11-22,0,0,0,0
33,223582,"November 21, 2014",Pennsylvania,Pittsburgh,600 block of Miller Avenue,0,6,0,0,0,,,2014-11-21,0,0,0,0
34,222792,"November 19, 2014",Illinois,Chicago,700 block of North St. Louis Avenue,1,3,0,0,0,,,2014-11-19,0,0,0,0
35,222393,"November 18, 2014",Nevada,North Las Vegas,Englestad Street,0,4,0,0,0,,,2014-11-18,0,0,0,0
36,221554,"November 16, 2014",Ohio,Akron,1891 E Market St,1,4,0,0,1,,,2014-11-16,0,1,0,0
37,224746,"November 16, 2014",Texas,El Paso,115 S. Durango,0,5,0,1,0,,,2014-11-16,0,0,0,0
38,221347,"November 15, 2014",Missouri,Springfield,2555 N. Glenstone,4,0,0,0,1,,,2014-11-15,0,1,0,0
39,221577,"November 15, 2014",Florida,Miami,NW 55th and 12th,1,3,0,0,0,,,2014-11-15,0,0,0,0
40,217831,"November 8, 2014",California,Pomona,499 E. Arrow Highway,0,5,0,0,0,,,2014-11-08,0,0,0,0
41,218054,"November 7, 2014",California,Los Angeles,East 126th Street and North Compton Avenue,0,4,0,0,0,,,2014-11-07,0,0,0,0
42,217401,"November 7, 2014",California,Compton,136th Street ,0,4,0,0,0,,,2014-11-07,0,0,0,0
43,216533,"November 5, 2014",California,San Francisco,1100 block of Alabama Street ,0,4,0,0,0,,,2014-11-05,0,0,0,0
44,212884,"October 29, 2014",Tennessee,Memphis,Yale Road and Ramill Road,0,5,0,0,0,,,2014-10-29,0,0,0,0
45,211348,"October 26, 2014",Kentucky,Cadiz,1410 Old Dover Road,4,0,0,0,1,,,2014-10-26,0,1,0,0
46,210363,"October 24, 2014",Washington,Marysville,5611 108th St NE,4,1,1,0,0,,,2014-10-24,0,0,1,0
47,209134,"October 18, 2014",New York,Queens,33-02 Queens Blvd,0,4,0,0,1,,,2014-10-18,0,1,0,0
48,207145,"October 18, 2014",South Carolina,Graniteville,192 Breezy Hill Road,1,3,0,0,0,,,2014-10-18,0,0,0,0
49,207687,"October 18, 2014",New York,Brooklyn,Lenox Road,0,4,0,0,0,,,2014-10-18,0,0,0,0
50,206303,"October 16, 2014",Michigan,Detroit,Mogul Street,1,3,0,0,1,,,2014-10-16,0,1,0,0
51,205726,"October 14, 2014",Georgia,Peachtree Corners,6505 Bannor Lane,2,2,1,0,0,,,2014-10-14,0,0,1,0
52,205298,"October 13, 2014",Georgia,Atlanta,85 Mount Zion Road,0,4,0,0,0,,,2014-10-13,0,0,0,0
53,204310,"October 12, 2014",California,Stockton,1100 block of East March Lane,3,1,0,0,0,,,2014-10-12,0,0,0,0
54,204477,"October 12, 2014",Georgia,Atlanta,Arthur Langford Jr Place,1,3,0,0,0,,,2014-10-12,0,0,0,0
55,204236,"October 11, 2014",New York,Utica,222 Bleecker Street,0,4,0,1,1,,,2014-10-11,0,1,0,0
56,202981,"October 8, 2014",Georgia,Atlanta,Auburn Avenue and Edgewood Avenue,0,4,0,0,0,,,2014-10-08,0,0,0,0
57,204254,"October 8, 2014",New York,Guilderland,1846 Western Ave,4,0,0,0,0,,,2014-10-08,0,0,0,0
58,201052,"October 5, 2014",Michigan,Detroit,East 7 Mile Road and Sherwood Street,1,5,0,0,0,,,2014-10-05,0,0,0,0
59,201630,"October 5, 2014",Florida,Jacksonville,7300 block of Linda Drive,3,1,0,0,0,,,2014-10-05,0,0,0,0
60,201648,"October 4, 2014",Tennessee,Memphis,1400 block of Gherald Street,2,2,0,0,0,,,2014-10-04,0,0,0,0
61,201502,"October 4, 2014",California,Pomona,1925 West Holt Avenue ,0,4,0,0,0,,,2014-10-04,0,0,0,0
62,198051,"September 29, 2014",South Carolina,Walterboro,29 Sandy Dam Lane,1,6,0,1,2,,,2014-09-29,0,2,0,0
63,198527,"September 29, 2014",California,Fresno,2300 block of West Fountain Way ,0,4,0,0,0,,,2014-09-29,0,0,0,0
64,197416,"September 28, 2014",Pennsylvania,Philadelphia,2800 block of Hope Street,0,4,0,0,0,,,2014-09-28,0,0,0,0
65,197384,"September 28, 2014",Florida,Miami,NW 7th Ave and NW 64th St,0,15,0,0,0,,,2014-09-28,0,0,0,0
66,197287,"September 27, 2014",Missouri,Saint Louis,2000 block East John Avenue,0,5,0,0,0,,,2014-09-27,0,0,0,0
67,198064,"September 26, 2014",South Carolina,Florence,650 Turner Rd,1,4,0,0,2,,,2014-09-26,0,2,0,0
68,194945,"September 21, 2014",Ohio,East Liverpool,440 First St,0,4,0,0,0,,,2014-09-21,0,0,0,0
69,193960,"September 20, 2014",Mississippi,Batesville,8297 Curtis Rd,2,2,0,0,0,,,2014-09-20,0,0,0,0
70,193570,"September 19, 2014",New York,Queens,32-14 106th St,0,4,0,0,0,,,2014-09-19,0,0,0,0
71,192851,"September 18, 2014",Florida,Bell,2550 NW 29th Terrace,7,0,1,0,0,,,2014-09-18,0,0,1,0
72,191416,"September 15, 2014",Louisiana,New Orleans,Chef Menteur Highway and Dale Street,0,5,0,0,0,,,2014-09-15,0,0,0,0
73,190874,"September 14, 2014",Texas,Flour Bluff,229 Naval Air Station Drive,3,1,0,0,0,,,2014-09-14,0,0,0,0
74,2172621,"September 14, 2014",Texas,Corpus Christi,229 NAS Dr,3,1,0,0,1,,,2014-09-14,0,1,0,0
75,190599,"September 14, 2014",Alaska,Anchorage,225 E Fifth,0,6,0,0,0,,,2014-09-14,0,0,0,0
76,189562,"September 11, 2014",Michigan,Detroit,14000 block of Patton,1,7,0,0,0,,,2014-09-11,0,0,0,0
77,188332,"September 6, 2014",Florida,Orlando,2015 Orange Blossom Trail,0,4,0,0,0,,,2014-09-06,0,0,0,0
78,186488,"September 6, 2014",Georgia,Macon,576 Poplar Street,0,5,0,0,0,,,2014-09-06,0,0,0,0
79,185393,"September 4, 2014",Michigan,Flint,2400 block of Martin Luther King Boulevard,0,5,0,0,0,,,2014-09-04,0,0,0,0
80,185430,"September 3, 2014",California,Los Angeles,East 27th and Stanford ,0,6,0,0,0,,,2014-09-03,0,0,0,0
81,185196,"September 2, 2014",Mississippi,Jackson,3622 Medgar Evers Boulevard,2,3,0,0,0,,,2014-09-02,0,0,0,0
82,184507,"September 2, 2014",California,Highland,25000 block of Fifth Street ,0,5,0,0,0,,,2014-09-02,0,0,0,0
83,183432,"August 31, 2014",California,Livermore,200 block of South Q Street ,0,5,0,0,0,,,2014-08-31,0,0,0,0
84,182974,"August 29, 2014",Florida,Brooksville,820 Peach St,3,1,0,0,0,,,2014-08-29,0,0,0,0
85,181947,"August 27, 2014",Michigan,Detroit,16600 block of Edmore,1,3,0,0,0,,,2014-08-27,0,0,0,0
86,180018,"August 24, 2014",Illinois,Chicago,8300 block of South Halsted Street,1,3,0,0,0,,,2014-08-24,0,0,0,0
87,180580,"August 24, 2014",Georgia,Augusta,1013 Carrie Street,1,3,0,0,0,,,2014-08-24,0,0,0,0
88,178425,"August 20, 2014",Tennessee,Memphis,1400 block of Briarcrest Lane,0,5,0,0,0,,,2014-08-20,0,0,0,0
89,178006,"August 18, 2014",Louisiana,Saint Martinville,Main and Hyacinth streets,0,4,0,0,0,,,2014-08-18,0,0,0,0
90,177770,"August 17, 2014",California,East Palo Alto,Purdue Street and Georgetown Avenue,1,3,0,0,0,,,2014-08-17,0,0,0,0
91,175943,"August 17, 2014",Massachusetts,Boston,Edinboro Street,0,4,0,0,0,,,2014-08-17,0,0,0,0
92,175911,"August 17, 2014",New York,Queens,153-38 118th Ave,0,4,0,0,0,,,2014-08-17,0,0,0,0
93,175839,"August 17, 2014",Nevada,Las Vegas,Owens Avenue and H Street,0,4,0,0,0,,,2014-08-17,0,0,0,0
94,175788,"August 16, 2014",Utah,Salt Lake City,122 Pierpont Avenue,0,6,0,0,0,,,2014-08-16,0,0,0,0
95,175779,"August 16, 2014",New Jersey,Plainfield,West 3rd Street and Monroe Avenue,1,3,0,0,0,,,2014-08-16,0,0,0,0
96,174560,"August 14, 2014",Tennessee,Memphis,797 Pope Street,1,3,0,0,0,,,2014-08-14,0,0,0,0
97,174544,"August 13, 2014",Tennessee,Clarksville,Treeland Drive,0,4,0,0,0,,,2014-08-13,0,0,0,0
98,175767,"August 13, 2014",Louisiana,New Orleans,New Orleans and North Rocheblave streets,0,4,0,0,0,,,2014-08-13,0,0,0,0
99,173369,"August 12, 2014",New York,Buffalo,Oakmont Ave,1,3,0,0,0,,,2014-08-12,0,0,0,0
100,173628,"August 12, 2014",Georgia,Cartersville,Brent Cir,1,3,1,0,0,,,2014-08-12,0,0,1,0
101,172304,"August 10, 2014",Louisiana,New Orleans,5400 block of Burgundy St,2,5,0,0,2,,,2014-08-10,0,2,0,0
102,172205,"August 10, 2014",District of Columbia,Washington,50 block of N St SW,0,6,0,0,0,,,2014-08-10,0,0,0,0
