"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
2638465,"June 28, 2023","North Carolina",Greensboro,"5100 Bayberry St",3,2,0,0,1,N/A
2606205,"May 23, 2023",Texas,Texarkana,"563 Lemon Acre",4,0,0,0,1,N/A
2374337,"July 31, 2022",Michigan,Detroit,"11637 Coyle St",2,6,0,0,1,N/A
1950346,"March 11, 2021","New Mexico","Ohkay Owingeh","89 Co Rd 56",1,3,0,0,1,N/A
1924338,"February 9, 2021",Minnesota,Buffalo,"755 Crossroads Campus Dr",1,4,0,0,1,N/A
1649473,"March 31, 2020",Georgia,Macon,"571 Moreland Ave",3,1,0,0,1,N/A
1612716,"February 3, 2020",California,Lebec,"8968 Grapevine Rd",1,5,0,0,1,N/A
1530276,"October 19, 2019",Texas,"El Paso","3812 Truman Ave",1,4,0,0,1,N/A
1478869,"August 14, 2019",Pennsylvania,Philadelphia,"3716 N 15th St",0,6,0,0,1,N/A
1309114,"January 23, 2019",Florida,Sebring,"1901 US 27 S",5,0,0,0,1,N/A
1241819,"October 27, 2018",Pennsylvania,Pittsburgh,"5898 Wilkins Ave",11,6,0,1,1,N/A
1223865,"October 3, 2018","South Carolina",Florence,"932 Ashton Dr",2,6,0,0,1,N/A
1097700,"April 22, 2018",Louisiana,"New Orleans","1900 block of St Roch Ave",2,4,0,0,1,N/A
840339,"May 10, 2017","New Jersey",Trenton,"300 block of Centre St",1,3,0,0,1,N/A
712796,"November 28, 2016",Texas,"Mission (Palmview)","1840 W Palma Vista Dr",1,3,0,0,1,N/A
454059,"November 27, 2015",Colorado,"Colorado Springs","3480 Centennial Blvd",3,9,0,0,1,N/A
448419,"November 15, 2015",Texas,"Tennessee Colony","800 block of An County Rd 2217",5,0,0,0,1,N/A
390526,"August 8, 2015",Texas,Houston,"2211 Falling Oaks",8,0,0,0,1,N/A
156670,"July 9, 2014",Texas,Spring,"711 Leaflet Ln",6,1,0,0,1,N/A
487833,"June 15, 2013",Tennessee,Nashville,"135 Brinkhaven Ave",0,4,0,0,1,N/A
