Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,dates_processed
1289686,"December 31, 2018",Ohio,Cleveland,4462 Denison Ave,3,2,0,0,0,,2018-12-31
1289686,"December 31, 2018",Ohio,Cleveland,4462 Denison Ave,3,2,0,0,0,,2018-12-31
1288376,"December 29, 2018",Ohio,Lima,904 S Main St,1,3,0,0,1,,2018-12-29
1288376,"December 29, 2018",Ohio,Lima,904 S Main St,1,3,0,0,1,,2018-12-29
1287286,"December 28, 2018",Missouri,Saint Charles,150 Whetstone Dr,4,0,0,1,1,,2018-12-28
1287286,"December 28, 2018",Missouri,Saint Charles,150 Whetstone Dr,4,0,0,1,1,,2018-12-28
1284586,"December 24, 2018",Louisiana,Lutcher,2176 Main St,2,2,0,0,2,,2018-12-24
1284586,"December 24, 2018",Louisiana,Lutcher,2176 Main St,2,2,0,0,2,,2018-12-24
1283229,"December 23, 2018",Missouri,Springfield,1042 W College St,1,6,0,0,1,,2018-12-23
1283229,"December 23, 2018",Missouri,Springfield,1042 W College St,1,6,0,0,1,,2018-12-23
1282704,"December 22, 2018",Nevada,Las Vegas,3528 S Maryland Pkwy,0,4,0,0,0,,2018-12-22
1282704,"December 22, 2018",Nevada,Las Vegas,3528 S Maryland Pkwy,0,4,0,0,0,,2018-12-22
1279617,"December 18, 2018",Maryland,Baltimore,3942 Park Heights Ave,0,4,0,1,1,,2018-12-18
1279617,"December 18, 2018",Maryland,Baltimore,3942 Park Heights Ave,0,4,0,1,1,,2018-12-18
1277327,"December 15, 2018",Florida,Miami,239 NW 16th St,0,5,0,0,0,,2018-12-15
1277327,"December 15, 2018",Florida,Miami,239 NW 16th St,0,5,0,0,0,,2018-12-15
1277411,"December 14, 2018",Colorado,Colorado Springs,700 block of Geiger Ct,1,3,0,0,2,,2018-12-14
1277411,"December 14, 2018",Colorado,Colorado Springs,700 block of Geiger Ct,1,3,0,0,2,,2018-12-14
1276091,"December 13, 2018",Pennsylvania,Philadelphia,4505 N Broad St,0,4,0,0,0,,2018-12-13
1276091,"December 13, 2018",Pennsylvania,Philadelphia,4505 N Broad St,0,4,0,0,0,,2018-12-13
1276298,"December 11, 2018",Louisiana,Natchitoches,Caspari St and University Pkwy,1,3,0,0,0,,2018-12-11
1276298,"December 11, 2018",Louisiana,Natchitoches,Caspari St and University Pkwy,1,3,0,0,0,,2018-12-11
1272855,"December 9, 2018",Wisconsin,Madison,3554 E Washington Ave,0,4,0,0,2,,2018-12-09
1272855,"December 9, 2018",Wisconsin,Madison,3554 E Washington Ave,0,4,0,0,2,,2018-12-09
1272106,"December 8, 2018",New York,Corona (Queens),89-25 130th St,0,5,0,0,1,,2018-12-08
1273161,"December 8, 2018",California,Inglewood,801 S Inglewood Ave,0,5,0,0,0,,2018-12-08
1273161,"December 8, 2018",California,Inglewood,801 S Inglewood Ave,0,5,0,0,0,,2018-12-08
1272106,"December 8, 2018",New York,Corona (Queens),89-25 130th St,0,5,0,0,1,,2018-12-08
1267682,"December 1, 2018",Florida,Miami,NW Fifth Ave and NW Eighth St,0,5,0,0,0,,2018-12-01
1267682,"December 1, 2018",Florida,Miami,NW Fifth Ave and NW Eighth St,0,5,0,0,0,,2018-12-01
1266937,"November 26, 2018",Tennessee,Powell,Tammy Dr,0,4,0,0,2,,2018-11-26
1266937,"November 26, 2018",Tennessee,Powell,Tammy Dr,0,4,0,0,2,,2018-11-26
1262814,"November 25, 2018",Alabama,Demopolis,Floyd St and Field St,2,2,0,0,0,,2018-11-25
1263332,"November 25, 2018",California,Oakland,1000 block of 24th St,0,4,0,0,0,,2018-11-25
1263086,"November 25, 2018",Texas,Houston,4500 block of Yale St,1,3,0,0,0,,2018-11-25
1263332,"November 25, 2018",California,Oakland,1000 block of 24th St,0,4,0,0,0,,2018-11-25
1262814,"November 25, 2018",Alabama,Demopolis,Floyd St and Field St,2,2,0,0,0,,2018-11-25
1263086,"November 25, 2018",Texas,Houston,4500 block of Yale St,1,3,0,0,0,,2018-11-25
1262013,"November 23, 2018",Florida,Miami,5801 NW 27th Ave,2,5,0,0,0,,2018-11-23
1262013,"November 23, 2018",Florida,Miami,5801 NW 27th Ave,2,5,0,0,0,,2018-11-23
1261351,"November 22, 2018",Indiana,Fort Wayne,6100 block of Downingtown Dr,3,2,0,0,2,,2018-11-22
1261351,"November 22, 2018",Indiana,Fort Wayne,6100 block of Downingtown Dr,3,2,0,0,2,,2018-11-22
1260525,"November 21, 2018",Missouri,Saint Louis,4200 block of Shreve Ave,0,4,0,0,0,,2018-11-21
1260525,"November 21, 2018",Missouri,Saint Louis,4200 block of Shreve Ave,0,4,0,0,0,,2018-11-21
1258777,"November 19, 2018",Colorado,Denver,1200 21st Street,1,3,0,1,2,,2018-11-19
1258804,"November 19, 2018",Pennsylvania,Philadelphia,5100 block of Malcolm St,4,0,0,0,4,,2018-11-19
1258804,"November 19, 2018",Pennsylvania,Philadelphia,5100 block of Malcolm St,4,0,0,0,4,,2018-11-19
1258777,"November 19, 2018",Colorado,Denver,1200 21st Street,1,3,0,1,2,,2018-11-19
1258009,"November 18, 2018",California,Los Angeles (Watts),95th St and Defiance Ave,2,2,0,1,0,,2018-11-18
1258009,"November 18, 2018",California,Los Angeles (Watts),95th St and Defiance Ave,2,2,0,1,0,,2018-11-18
1257508,"November 16, 2018",Arkansas,Little Rock,4405 W 14th St,3,1,0,0,1,,2018-11-16
1257508,"November 16, 2018",Arkansas,Little Rock,4405 W 14th St,3,1,0,0,1,,2018-11-16
1256435,"November 14, 2018",Louisiana,Baton Rouge,4896 Gus Young Ave,3,1,0,0,0,,2018-11-14
1256435,"November 14, 2018",Louisiana,Baton Rouge,4896 Gus Young Ave,3,1,0,0,0,,2018-11-14
